"","cartaAltaRoboClustering","cartaMediaRoboClustering","cartaBaixaRoboClustering","kmeans.cluster","idMao"
"242",41,7,3,3,254
"243",41,20,20,1,255
"244",3,3,3,2,256
"245",51,20,3,6,257
"246",7,7,3,5,258
"247",20,7,3,4,259
"248",7,7,3,5,260
"249",20,7,3,4,261
"250",7,7,3,5,262
"251",7,3,3,2,263
"252",20,3,3,4,264
"253",20,12,7,7,265
"254",20,3,3,4,266
"255",7,3,3,2,267
"256",20,7,3,4,268
"257",7,7,3,5,269
"258",51,41,7,6,270
"259",20,20,3,7,271
"260",12,3,3,2,273
"261",20,12,3,4,274
"262",20,7,3,4,275
"263",7,3,3,2,276
"264",7,7,3,5,277
"265",20,12,7,7,278
"266",20,20,7,7,279
"267",20,3,3,4,281
"268",41,7,7,3,282
"269",20,3,3,4,283
"270",20,20,7,7,284
"271",20,12,7,7,285
"272",7,7,3,5,287
"273",51,20,3,6,288
"274",7,3,3,2,289
"275",51,7,3,3,290
"276",7,3,3,2,291
"277",20,7,3,4,292
"278",7,3,3,2,293
"279",20,20,7,7,294
"280",20,20,7,7,295
"281",41,20,7,6,296
"282",20,20,7,7,297
"283",41,20,7,6,298
"284",20,20,7,7,300
"285",7,3,3,2,301
"286",12,7,3,5,302
"287",20,12,3,4,303
"288",20,20,7,7,304
"289",12,7,7,5,305
"290",20,3,3,4,306
"291",51,7,3,3,307
"292",20,7,3,4,308
"293",20,7,7,4,310
"294",20,7,3,4,311
"295",20,12,7,7,312
"296",20,3,3,4,313
"297",41,7,3,3,314
"298",20,20,7,7,315
"299",20,12,7,7,316
"300",7,7,3,5,318
"301",41,7,7,3,319
"302",7,3,3,2,320
"303",3,3,3,2,321
"304",20,3,3,4,322
"305",41,20,7,6,323
"306",41,20,3,6,324
"307",51,7,3,3,325
"308",20,3,3,4,326
"309",41,3,3,3,327
"310",7,7,3,5,328
"311",20,3,3,4,329
"312",20,7,3,4,330
"313",20,20,20,1,331
"314",20,7,3,4,332
"315",20,20,7,7,333
"316",7,7,7,5,334
"317",7,7,3,5,336
"318",20,12,7,7,337
"319",20,3,3,4,338
"320",7,7,3,5,339
"321",51,20,7,6,340
"322",3,3,3,2,341
"323",7,7,3,5,342
"324",51,7,7,3,343
"325",20,20,20,1,345
"326",7,7,3,5,346
"327",20,3,3,4,347
"328",7,7,7,5,349
"329",20,20,7,7,351
"330",20,20,3,7,352
"331",41,12,12,1,353
"332",20,7,3,4,354
"333",7,3,3,2,355
"334",41,20,7,6,356
"335",20,7,7,4,357
"336",41,7,3,3,359
"337",20,12,3,4,360
"338",12,3,3,2,361
"339",41,12,3,3,362
"340",7,7,3,5,363
"341",51,7,3,3,364
"342",51,20,7,6,365
"343",7,7,3,5,366
"344",51,12,3,3,367
"345",20,3,3,4,368
"346",51,7,3,3,369
"347",12,7,7,5,370
"348",7,3,3,2,371
"349",3,3,3,2,372
"350",7,3,3,2,373
"351",20,7,3,4,374
"352",7,7,3,5,375
"353",3,3,3,2,377
"354",7,7,3,5,378
"355",20,3,3,4,379
"356",20,7,3,4,380
"357",41,20,7,6,381
"358",20,7,3,4,382
"359",41,7,7,3,383
"360",12,7,3,5,384
"361",41,20,3,6,385
"362",7,3,3,2,386
"363",20,3,3,4,387
"364",20,7,3,4,388
"365",41,7,7,3,389
"366",3,3,3,2,390
"367",20,7,3,4,391
"368",7,3,3,2,392
"369",7,7,3,5,393
"370",20,12,7,7,394
"371",51,12,3,3,395
"372",7,3,3,2,396
"373",20,20,7,7,397
"374",20,20,3,7,398
"375",7,3,3,2,399
"376",41,20,7,6,400
"377",20,7,3,4,401
"378",20,7,3,4,402
"379",20,7,3,4,403
"380",41,12,7,3,404
"381",20,3,3,4,405
"382",20,7,3,4,406
"383",20,12,7,7,407
"384",20,12,3,4,408
"385",51,12,7,3,409
"386",7,7,7,5,410
"387",20,3,3,4,411
"388",20,7,3,4,412
"389",20,20,3,7,413
"390",51,20,3,6,414
"391",51,20,7,6,415
"392",51,7,7,3,416
"393",7,3,3,2,417
"394",20,3,3,4,418
"395",7,3,3,2,419
"396",20,3,3,4,420
"397",20,20,7,7,421
"398",12,3,3,2,422
"399",20,3,3,4,423
"400",7,7,7,5,424
"401",51,12,7,3,425
"402",51,20,7,6,426
"403",20,12,3,4,427
"404",41,3,3,3,428
"405",51,3,3,3,429
"406",51,20,3,6,430
"407",7,3,3,2,431
"408",51,12,3,3,432
"409",20,20,7,7,433
"410",20,7,7,4,434
"411",20,7,3,4,435
"412",20,7,3,4,436
"413",41,7,3,3,437
"414",51,20,7,6,438
"415",3,3,3,2,439
"416",20,20,7,7,440
"417",7,3,3,2,441
"418",3,3,3,2,442
"419",7,7,3,5,443
"420",51,20,3,6,444
"421",51,20,20,1,445
"422",41,7,3,3,446
"423",20,7,3,4,447
"424",20,12,3,4,448
"425",51,20,7,6,449
"426",7,7,3,5,450
"427",7,3,3,2,452
"428",20,7,3,4,453
"429",20,3,3,4,454
"430",7,3,3,2,455
"431",7,7,7,5,458
"432",7,3,3,2,459
"433",7,7,3,5,460
"434",7,7,3,5,461
"435",20,20,7,7,462
"436",41,20,3,6,463
"437",12,7,3,5,464
"438",20,7,7,4,465
"439",41,20,7,6,466
"440",51,20,3,6,467
"441",20,7,3,4,468
"442",20,7,3,4,469
"443",7,7,7,5,470
"444",7,3,3,2,471
"445",20,7,3,4,472
"446",20,7,7,4,473
"447",7,7,3,5,474
"448",41,20,12,1,475
"449",7,7,3,5,476
"450",20,7,7,4,477
"451",20,7,7,4,478
"452",3,3,3,2,479
"453",7,3,3,2,480
"454",51,20,3,6,481
"455",51,3,3,3,482
"456",20,7,3,4,483
"457",20,20,7,7,484
"458",7,3,3,2,485
"459",20,20,7,7,486
"460",7,3,3,2,487
"461",51,20,12,1,488
"462",41,41,20,1,489
"463",20,20,3,7,490
"464",20,3,3,4,491
"465",20,12,7,7,492
"466",20,7,3,4,493
"467",20,7,3,4,494
"468",20,20,7,7,496
"469",51,20,7,6,497
"470",51,7,7,3,498
"471",41,20,7,6,499
"472",20,3,3,4,500
"473",20,7,3,4,501
"474",7,7,3,5,502
"475",3,3,3,2,503
"476",20,7,3,4,504
"477",20,7,3,4,505
"478",20,12,7,7,506
"479",12,7,3,5,507
"480",41,7,7,3,509
"481",20,20,7,7,510
"482",7,3,3,2,511
"483",20,7,3,4,512
"484",20,3,3,4,513
"485",41,7,3,3,514
"486",41,12,7,3,515
"487",51,3,3,3,518
"488",7,7,3,5,521
"489",7,7,3,5,522
"490",51,12,7,3,523
"491",7,3,3,2,524
"492",20,7,7,4,526
"493",7,7,3,5,527
"494",41,3,3,3,528
"495",7,7,3,5,529
"496",41,41,3,6,530
"497",3,3,3,2,531
"498",20,12,3,4,532
"499",20,20,7,7,534
"500",7,7,3,5,535
"501",20,12,7,7,536
"502",20,20,20,1,537
"503",51,41,3,6,538
"504",51,20,3,6,540
"505",20,7,3,4,541
"506",41,3,3,3,542
"507",41,20,20,1,543
"508",3,3,3,2,544
"509",12,7,3,5,545
"510",20,7,3,4,546
"511",41,20,7,6,547
"512",7,7,7,5,548
"513",7,7,3,5,550
"514",51,7,3,3,551
"515",7,7,7,5,552
"516",51,20,7,6,553
"517",3,3,3,2,554
"518",7,3,3,2,555
"519",20,7,3,4,556
"520",7,7,3,5,557
"521",51,3,3,3,558
"522",20,12,7,7,559
"523",7,3,3,2,561
"524",41,20,20,1,562
"525",41,7,7,3,563
"526",20,12,3,4,564
"527",41,20,20,1,565
"528",7,7,3,5,566
"529",20,7,3,4,568
"530",7,7,3,5,569
"531",20,7,3,4,571
"532",20,7,3,4,572
"533",7,7,3,5,574
"534",41,7,7,3,575
"535",7,3,3,2,576
"536",41,41,12,1,577
"537",41,20,3,6,578
"538",7,3,3,2,579
"539",20,7,3,4,580
"540",20,20,3,7,581
"541",51,20,7,6,582
"542",12,7,7,5,583
"543",51,7,3,3,584
"544",51,20,7,6,586
"545",20,3,3,4,587
"546",51,7,3,3,588
"547",20,20,7,7,589
"548",51,7,3,3,590
"549",20,3,3,4,591
"550",12,7,7,5,592
"551",20,7,7,4,593
"552",41,7,7,3,594
"553",7,7,7,5,595
"554",51,7,3,3,597
"555",7,7,3,5,598
"556",20,7,3,4,600
"557",20,20,3,7,601
"558",20,12,7,7,603
"559",12,7,3,5,604
"560",3,3,3,2,605
"561",20,7,3,4,606
"562",51,7,3,3,607
"563",3,3,3,2,608
"564",51,3,3,3,609
"565",7,7,3,5,611
"566",7,3,3,2,612
"567",20,7,7,4,613
"568",20,20,20,1,614
"569",20,7,3,4,615
"570",20,7,3,4,617
"571",20,20,3,7,618
"572",41,7,3,3,619
"573",20,12,3,4,620
"574",20,7,7,4,622
"575",51,20,7,6,623
"576",7,7,7,5,624
"577",20,7,3,4,627
"578",12,3,3,2,628
"579",20,7,3,4,629
"580",51,7,3,3,630
"581",20,20,7,7,631
"582",41,20,7,6,632
"583",7,7,7,5,634
"584",20,20,7,7,636
"585",20,7,3,4,637
"586",20,7,7,4,638
"587",41,12,7,3,642
"588",41,7,7,3,643
"589",51,20,3,6,644
"590",7,7,3,5,645
"591",20,7,3,4,646
"592",51,20,20,1,647
"593",20,7,3,4,648
"594",7,7,3,5,649
"595",51,7,3,3,650
"596",51,20,20,1,651
"597",7,3,3,2,652
"598",20,20,3,7,653
"599",12,3,3,2,654
"600",7,7,3,5,655
"601",7,7,3,5,656
"602",20,7,3,4,657
"603",41,7,3,3,658
"604",41,20,20,1,659
"605",7,3,3,2,660
"606",20,7,3,4,661
"607",20,20,7,7,662
"608",41,20,20,1,663
"609",7,7,7,5,665
"610",7,3,3,2,666
"611",7,7,3,5,667
"612",7,7,3,5,668
"613",7,3,3,2,669
"614",7,3,3,2,670
"615",41,20,3,6,671
"616",7,7,3,5,672
"617",51,20,3,6,673
"618",7,7,3,5,674
"619",20,12,7,7,675
"620",51,3,3,3,677
"621",20,7,3,4,678
"622",7,7,3,5,679
"623",20,7,3,4,680
"624",20,12,3,4,681
"625",20,7,3,4,682
"626",12,3,3,2,683
"627",20,20,3,7,684
"628",7,7,3,5,685
"629",7,3,3,2,686
"630",20,7,3,4,687
"631",20,7,3,4,688
"632",41,3,3,3,689
"633",3,3,3,2,690
"634",51,41,12,1,691
"635",41,20,20,1,692
"636",51,7,7,3,693
"637",7,7,3,5,694
"638",12,7,3,5,695
"639",41,7,3,3,696
"640",3,3,3,2,697
"641",7,7,3,5,698
"642",20,20,7,7,699
"643",7,7,3,5,700
"644",3,3,3,2,701
"645",7,3,3,2,702
"646",20,7,3,4,703
"647",12,3,3,2,704
"648",41,41,20,1,706
"649",20,12,3,4,707
"650",51,20,3,6,708
"651",51,20,3,6,709
"652",7,3,3,2,710
"653",20,7,3,4,711
"654",51,7,3,3,712
"655",51,20,20,1,713
"656",12,7,3,5,714
"657",20,12,7,7,715
"658",12,7,3,5,716
"659",51,20,7,6,717
"660",51,7,3,3,718
"661",51,41,7,6,719
"662",3,3,3,2,720
"663",20,3,3,4,721
"664",20,7,7,4,722
"665",7,7,3,5,723
"666",51,20,3,6,724
"667",20,7,3,4,725
"668",12,7,3,5,726
"669",41,7,7,3,727
"670",3,3,3,2,728
"671",7,3,3,2,729
"672",20,7,3,4,730
"673",20,7,7,4,731
"674",20,7,7,4,732
"675",12,7,7,5,733
"676",20,20,7,7,734
"677",41,20,7,6,735
"678",20,3,3,4,738
"679",7,3,3,2,739
"680",20,7,7,4,740
"681",20,7,3,4,741
"682",12,7,3,5,742
"683",20,7,3,4,743
"684",51,3,3,3,744
"685",20,20,7,7,745
"686",7,7,3,5,746
"687",20,7,3,4,747
"688",20,3,3,4,748
"689",20,20,3,7,749
"690",7,3,3,2,750
"691",20,7,3,4,751
"692",41,12,7,3,752
"693",3,3,3,2,753
"694",20,7,3,4,754
"695",20,3,3,4,755
"696",41,20,3,6,756
"697",12,7,3,5,757
"698",3,3,3,2,758
"699",51,7,3,3,759
"700",51,41,3,6,760
"701",41,3,3,3,761
"702",51,20,7,6,762
"703",51,7,3,3,763
"704",20,3,3,4,764
"705",20,3,3,4,765
"706",20,7,3,4,766
"707",20,12,7,7,767
"708",20,7,3,4,768
"709",51,20,7,6,769
"710",12,7,3,5,770
"711",7,7,3,5,771
"712",41,20,3,6,772
"713",3,3,3,2,773
"714",12,7,3,5,774
"715",20,20,7,7,775
"716",20,7,3,4,776
"717",20,20,3,7,777
"718",20,7,3,4,778
"719",20,3,3,4,779
"720",41,7,7,3,780
"721",20,20,3,7,781
"722",3,3,3,2,782
"723",20,12,3,4,783
"724",41,20,3,6,784
"725",7,3,3,2,785
"726",20,7,3,4,786
"727",7,3,3,2,788
"728",7,7,3,5,789
"729",20,12,12,7,790
"730",41,12,3,3,791
"731",20,20,7,7,792
"732",12,7,7,5,793
"733",20,20,3,7,794
"734",7,7,3,5,795
"735",41,12,3,3,796
"736",41,7,3,3,797
"737",7,3,3,2,798
"738",20,7,3,4,799
"739",20,7,3,4,800
"740",12,7,3,5,801
"741",51,20,7,6,802
"742",20,20,3,7,803
"743",20,7,7,4,804
"744",51,12,7,3,805
"745",20,20,3,7,806
"746",20,7,3,4,807
"747",7,3,3,2,808
"748",7,7,3,5,809
"749",12,7,3,5,810
"750",51,51,20,1,811
"751",20,3,3,4,812
"752",7,7,3,5,813
"753",20,20,7,7,814
"754",3,3,3,2,815
"755",51,3,3,3,816
"756",20,7,3,4,817
"757",20,7,7,4,818
"758",20,7,7,4,819
"759",20,3,3,4,820
"760",7,3,3,2,821
"761",20,20,7,7,822
"762",41,20,12,1,823
"763",41,20,7,6,824
"764",20,7,7,4,825
"765",20,7,3,4,826
"766",20,3,3,4,827
"767",20,7,7,4,828
"768",7,3,3,2,829
"769",51,20,3,6,830
"770",20,3,3,4,831
"771",20,7,3,4,832
"772",20,20,12,1,833
"773",20,3,3,4,834
"774",20,7,3,4,836
"775",51,20,12,1,837
"776",41,7,3,3,838
"777",51,20,7,6,839
"778",7,3,3,2,840
"779",41,20,3,6,841
"780",7,7,3,5,842
"781",41,3,3,3,843
"782",20,7,7,4,844
"783",20,7,3,4,846
"784",12,7,3,5,847
"785",41,12,7,3,848
"786",7,7,3,5,849
"787",51,20,12,1,850
"788",20,7,3,4,851
"789",51,20,7,6,852
"790",20,12,3,4,853
"791",7,3,3,2,855
"792",41,7,3,3,856
"793",20,7,3,4,857
"794",41,20,3,6,858
"795",20,3,3,4,859
"796",7,3,3,2,860
"797",7,3,3,2,861
"798",12,3,3,2,863
"799",7,7,7,5,864
"800",41,12,3,3,866
"801",20,12,7,7,868
"802",20,7,3,4,870
"803",7,7,7,5,871
"804",3,3,3,2,872
"805",7,7,7,5,873
"806",41,7,7,3,874
"807",7,7,3,5,875
"808",3,3,3,2,877
"809",20,7,3,4,879
"810",7,3,3,2,880
"811",51,7,3,3,881
"812",20,20,7,7,882
